tag,seed,model,n_epochs_logged,best_avg_epoch,best_avg_ff,best_avg_cdf,best_avg,best_ff_value,best_ff_cdf,last_ff,last_cdf,last_avg,log
efficientnetb4_2026-05-29-21-04-25,1024,efficientnetb4,2,1,0.4404,0.0972,0.2659,0.4404,0.0,0.4404,0.0972,0.2659,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-05-29-21-04-25/training.log
efficientnetb4_2026-05-29-21-15-53,1024,efficientnetb4,6,5,0.7049,0.9389,0.8219,0.7049,0.9389,0.7049,0.9389,0.8219,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-05-29-21-15-53/training.log
efficientnetb4_2026-05-29-22-06-11,1024,efficientnetb4,9,8,0.7213,0.9772,0.8399,0.7213,0.9772,0.7213,0.9772,0.8399,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-05-29-22-06-11/training.log
efficientnetb4_2026-05-29-22-22-21,1024,efficientnetb4,9,4,0.6882,0.8833,0.7857,0.7194,0.8833,0.7194,0.8833,0.7857,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-05-29-22-22-21/training.log
efficientnetb4_2026-06-01-15-39-03,1024,efficientnetb4,4,3,0.6369,0.8313,0.7229,0.6369,0.8313,0.6369,0.8313,0.7229,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-06-01-15-39-03/training.log
efficientnetb4_2026-06-01-15-56-16,1024,efficientnetb4,9,4,0.6869,0.8936,0.7902,0.7204,0.8936,0.7204,0.8936,0.7902,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-06-01-15-56-16/training.log
efficientnetb4_2026-06-01-16-03-59,2025,efficientnetb4,9,5,0.7168,0.8255,0.7683,0.7483,0.8472,0.7483,0.8472,0.7683,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-06-01-16-03-59/training.log
efficientnetb4_2026-06-01-16-11-53,7,efficientnetb4,9,6,0.727,0.8647,0.7959,0.7309,0.8647,0.7309,0.8647,0.7959,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_2026-06-01-16-11-53/training.log
efficientnetb4_dct_2026-05-29-21-20-06,1024,efficientnetb4_dct,6,4,0.6571,0.8747,0.7628,0.6874,0.8747,0.6874,0.8747,0.7628,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_dct_2026-05-29-21-20-06/training.log
efficientnetb4_dct_2026-05-29-22-13-34,1024,efficientnetb4_dct,9,7,0.7035,0.9524,0.8279,0.7254,0.9524,0.7254,0.9524,0.8279,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_dct_2026-05-29-22-13-34/training.log
